NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE14000_TRANSLATED_RNA_VS_MRNA_4H_LPS_DC_UP	GSE14000_TRANSLATED_RNA_VS_MRNA_4H_LPS_DC_UP		181	-0.4622607	-1.8803838	0.010416667	0.038978875	0.451	3477	tags=40%, list=23%, signal=51%	
GSE7509_DC_VS_MONOCYTE_WITH_FCGRIIB_STIM_UP	GSE7509_DC_VS_MONOCYTE_WITH_FCGRIIB_STIM_UP		178	-0.45805246	-1.8752149	0.0038535646	0.04044933	0.458	3515	tags=46%, list=23%, signal=58%	
GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP	GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP		164	-0.4087264	-1.8732791	0.0	0.040586267	0.46	3476	tags=38%, list=23%, signal=48%	
GSE40666_UNTREATED_VS_IFNA_STIM_CD8_TCELL_90MIN_DN	GSE40666_UNTREATED_VS_IFNA_STIM_CD8_TCELL_90MIN_DN		178	-0.42944628	-1.8720193	0.0038095238	0.04068505	0.462	3635	tags=39%, list=24%, signal=50%	
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_18H_UP	GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_18H_UP		173	-0.44729388	-1.867497	0.0	0.042188507	0.472	3607	tags=40%, list=23%, signal=52%	
GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP	GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP		165	-0.52517194	-1.8662921	0.024809161	0.04227415	0.474	2476	tags=42%, list=16%, signal=50%	
GSE8868_SPLEEN_VS_INTESTINE_CD11B_POS_CD11C_NEG_DC_UP	GSE8868_SPLEEN_VS_INTESTINE_CD11B_POS_CD11C_NEG_DC_UP		165	-0.4407763	-1.865081	0.0	0.04226724	0.475	2704	tags=35%, list=18%, signal=41%	
GSE2405_0H_VS_1.5H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	GSE2405_0H_VS_1.5H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN		183	-0.42686647	-1.8619553	0.0	0.04306495	0.483	2739	tags=32%, list=18%, signal=38%	
GSE26351_UNSTIM_VS_WNT_PATHWAY_STIM_HEMATOPOIETIC_PROGENITORS_DN	GSE26351_UNSTIM_VS_WNT_PATHWAY_STIM_HEMATOPOIETIC_PROGENITORS_DN		174	-0.39853	-1.8583144	0.0	0.043996025	0.491	2298	tags=27%, list=15%, signal=31%	
GSE36891_UNSTIM_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP	GSE36891_UNSTIM_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP		170	-0.42242965	-1.8580145	0.0019120459	0.04359576	0.491	2069	tags=31%, list=13%, signal=35%	
GSE41867_DAY6_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN	GSE41867_DAY6_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN		155	-0.3967509	-1.8575462	0.0	0.043263413	0.493	3124	tags=42%, list=20%, signal=52%	
GSE17721_LPS_VS_GARDIQUIMOD_4H_BMDC_DN	GSE17721_LPS_VS_GARDIQUIMOD_4H_BMDC_DN		164	-0.40968767	-1.8549253	0.0	0.04389963	0.496	3081	tags=34%, list=20%, signal=42%	
GSE22589_HIV_VS_HIV_AND_SIV_INFECTED_DC_DN	GSE22589_HIV_VS_HIV_AND_SIV_INFECTED_DC_DN		167	-0.42421657	-1.8542372	0.006085193	0.043683924	0.497	2942	tags=34%, list=19%, signal=42%	
GSE14308_TH2_VS_NAIVE_CD4_TCELL_DN	GSE14308_TH2_VS_NAIVE_CD4_TCELL_DN		167	-0.40843397	-1.8493745	0.0	0.045272134	0.505	2230	tags=29%, list=15%, signal=34%	
GSE35825_UNTREATED_VS_IFNA_STIM_MACROPHAGE_UP	GSE35825_UNTREATED_VS_IFNA_STIM_MACROPHAGE_UP		158	-0.4532917	-1.8483272	0.002	0.04530649	0.508	2716	tags=35%, list=18%, signal=42%	
GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_UP	GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_UP		161	-0.39708352	-1.844768	0.0	0.04637509	0.514	2635	tags=30%, list=17%, signal=36%	
GSE36392_MAC_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP	GSE36392_MAC_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP		166	-0.39948574	-1.8422681	0.001953125	0.047062982	0.518	2718	tags=31%, list=18%, signal=37%	
GSE29618_PRE_VS_DAY7_FLU_VACCINE_BCELL_DN	GSE29618_PRE_VS_DAY7_FLU_VACCINE_BCELL_DN		159	-0.37805203	-1.8422616	0.0	0.046593342	0.518	3658	tags=38%, list=24%, signal=49%	
GSE45365_WT_VS_IFNAR_KO_CD11B_DC_MCMV_INFECTION_UP	GSE45365_WT_VS_IFNAR_KO_CD11B_DC_MCMV_INFECTION_UP		160	-0.45012024	-1.8394108	0.0040650405	0.047211997	0.521	3130	tags=36%, list=20%, signal=44%	
GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP	GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP		164	-0.40377814	-1.8306913	0.0	0.0502442	0.541	3273	tags=34%, list=21%, signal=43%	
GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_HET_4H_DN	GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_HET_4H_DN		177	-0.4867972	-1.8283248	0.011538462	0.05086356	0.548	2784	tags=36%, list=18%, signal=44%	
