NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GSE10273_HIGH_IL7_VS_HIGH_IL7_AND_IRF4_IN_IRF4_8_NULL_PRE_BCELL_DN	200	168		
GSE10273_HIGH_IL7_VS_HIGH_IL7_AND_IRF4_IN_IRF4_8_NULL_PRE_BCELL_UP	200	166		
GSE10273_HIGH_VS_LOW_IL7_TREATED_IRF4_8_NULL_PRE_BCELL_DN	199	166		
GSE10273_HIGH_VS_LOW_IL7_TREATED_IRF4_8_NULL_PRE_BCELL_UP	200	176		
GSE10273_LOW_IL7_VS_HIGH_IL7_AND_IRF4_IN_IRF4_8_NULL_PRE_BCELL_DN	200	176		
GSE10273_LOW_IL7_VS_HIGH_IL7_AND_IRF4_IN_IRF4_8_NULL_PRE_BCELL_UP	200	168		
GSE10325_BCELL_VS_LUPUS_BCELL_DN	200	172		
GSE10325_BCELL_VS_LUPUS_BCELL_UP	194	144		
GSE10325_BCELL_VS_MYELOID_DN	200	176		
GSE10325_BCELL_VS_MYELOID_UP	197	170		
GSE10325_CD4_TCELL_VS_BCELL_DN	195	175		
GSE10325_CD4_TCELL_VS_BCELL_UP	199	170		
GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_DN	199	158		
GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_UP	197	165		
GSE10325_CD4_TCELL_VS_MYELOID_DN	200	173		
GSE10325_CD4_TCELL_VS_MYELOID_UP	199	172		
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN	200	186		
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP	195	175		
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_DN	196	171		
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP	199	179		
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN	200	180		
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP	199	173		
GSE10325_MYELOID_VS_LUPUS_MYELOID_DN	200	178		
GSE10325_MYELOID_VS_LUPUS_MYELOID_UP	196	127		
GSE10422_WT_VS_BAFF_TRANSGENIC_LN_BCELL_DN	129	101		
GSE10422_WT_VS_BAFF_TRANSGENIC_LN_BCELL_UP	180	156		
GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_DN	185	115		
GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_UP	195	163		
GSE10500_ARTHRITIC_SYNOVIAL_FLUID_VS_HEALTHY_MACROPHAGE_DN	145	120		
GSE10500_ARTHRITIC_SYNOVIAL_FLUID_VS_HEALTHY_MACROPHAGE_UP	155	124		
GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_DN	195	158		
GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_UP	187	158		
GSE11057_CD4_CENT_MEM_VS_PBMC_DN	195	170		
GSE11057_CD4_CENT_MEM_VS_PBMC_UP	198	171		
GSE11057_CD4_EFF_MEM_VS_PBMC_DN	194	172		
GSE11057_CD4_EFF_MEM_VS_PBMC_UP	199	182		
GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_DN	189	155		
GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_UP	199	155		
GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_DN	197	181		
GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_UP	198	163		
GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_DN	199	186		
GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_UP	196	156		
GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN	197	181		
GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP	198	168		
GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_DN	198	180		
GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_UP	195	157		
GSE11057_PBMC_VS_MEM_CD4_TCELL_DN	198	172		
GSE11057_PBMC_VS_MEM_CD4_TCELL_UP	197	168		
GSE1112_HY_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_DN	193	156		
GSE1112_HY_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_UP	193	150		
GSE1112_OT1_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_DN	195	142		
GSE1112_OT1_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_UP	184	125		
GSE1112_OT1_VS_HY_CD8AB_THYMOCYTE_RTOC_CULTURE_DN	200	177		
GSE1112_OT1_VS_HY_CD8AB_THYMOCYTE_RTOC_CULTURE_UP	200	167		
GSE11367_CTRL_VS_IL17_TREATED_SMOOTH_MUSCLE_CELL_DN	117	78		
GSE11367_CTRL_VS_IL17_TREATED_SMOOTH_MUSCLE_CELL_UP	137	99		
GSE11386_NAIVE_VS_MEMORY_BCELL_DN	158	138		
GSE11386_NAIVE_VS_MEMORY_BCELL_UP	185	159		
GSE11818_WT_VS_DICER_KO_TREG_DN	154	135		
GSE11818_WT_VS_DICER_KO_TREG_UP	146	99		
GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	195	160		
GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	197	168		
GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_DN	196	165		
GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_UP	200	172		
GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	193	157		
GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	196	159		
GSE11864_CSF1_VS_CSF1_IFNG_IN_MAC_DN	196	153		
GSE11864_CSF1_VS_CSF1_IFNG_IN_MAC_UP	197	168		
GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	198	153		
GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	195	166		
GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_DN	193	155		
GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_UP	197	161		
GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_DN	200	168		
GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_UP	195	163		
GSE11864_UNTREATED_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	199	164		
GSE11864_UNTREATED_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	198	170		
GSE11864_UNTREATED_VS_CSF1_IN_MAC_DN	197	170		
GSE11864_UNTREATED_VS_CSF1_IN_MAC_UP	196	152		
GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_DN	198	164		
GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_UP	198	174		
GSE11884_WT_VS_FURIN_KO_NAIVE_CD4_TCELL_DN	128	96		
GSE11884_WT_VS_FURIN_KO_NAIVE_CD4_TCELL_UP	141	112		
GSE11924_TFH_VS_TH17_CD4_TCELL_DN	200	165		
GSE11924_TFH_VS_TH17_CD4_TCELL_UP	199	174		
GSE11924_TFH_VS_TH1_CD4_TCELL_DN	200	156		
GSE11924_TFH_VS_TH1_CD4_TCELL_UP	199	177		
GSE11924_TFH_VS_TH2_CD4_TCELL_DN	200	162		
GSE11924_TFH_VS_TH2_CD4_TCELL_UP	200	175		
GSE11924_TH1_VS_TH17_CD4_TCELL_DN	199	172		
GSE11924_TH1_VS_TH17_CD4_TCELL_UP	200	148		
GSE11924_TH1_VS_TH2_CD4_TCELL_DN	199	165		
GSE11924_TH1_VS_TH2_CD4_TCELL_UP	200	162		
GSE11924_TH2_VS_TH17_CD4_TCELL_DN	200	169		
GSE11924_TH2_VS_TH17_CD4_TCELL_UP	199	155		
GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY40_DN	200	171		
GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY40_UP	200	171		
GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY7_DN	200	165		
GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY7_UP	200	170		
GSE11961_FOLLICULAR_BCELL_VS_MARGINAL_ZONE_BCELL_DN	200	156		
GSE11961_FOLLICULAR_BCELL_VS_MARGINAL_ZONE_BCELL_UP	200	158		
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_DN	200	157		
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_UP	200	166		
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY7_DN	200	168		
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY7_UP	200	165		
GSE11961_FOLLICULAR_BCELL_VS_PLASMA_CELL_DAY7_DN	200	174		
GSE11961_FOLLICULAR_BCELL_VS_PLASMA_CELL_DAY7_UP	200	163		
GSE11961_GERMINAL_CENTER_BCELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY40_DN	199	168		
GSE11961_GERMINAL_CENTER_BCELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY40_UP	199	177		
GSE11961_GERMINAL_CENTER_BCELL_DAY7_VS_MEMORY_BCELL_DAY40_DN	200	171		
GSE11961_GERMINAL_CENTER_BCELL_DAY7_VS_MEMORY_BCELL_DAY40_UP	200	161		
GSE11961_GERMINAL_CENTER_BCELL_DAY7_VS_PLASMA_CELL_DAY7_DN	200	176		
GSE11961_GERMINAL_CENTER_BCELL_DAY7_VS_PLASMA_CELL_DAY7_UP	200	168		
GSE11961_MARGINAL_ZONE_BCELL_VS_GERMINAL_CENTER_BCELL_DAY40_DN	200	161		
GSE11961_MARGINAL_ZONE_BCELL_VS_GERMINAL_CENTER_BCELL_DAY40_UP	200	170		
GSE11961_MARGINAL_ZONE_BCELL_VS_GERMINAL_CENTER_BCELL_DAY7_DN	200	169		
GSE11961_MARGINAL_ZONE_BCELL_VS_GERMINAL_CENTER_BCELL_DAY7_UP	199	165		
GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY40_DN	200	175		
GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY40_UP	200	162		
GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY7_DN	200	137		
GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY7_UP	200	166		
GSE11961_MARGINAL_ZONE_BCELL_VS_PLASMA_CELL_DAY7_DN	199	172		
GSE11961_MARGINAL_ZONE_BCELL_VS_PLASMA_CELL_DAY7_UP	200	170		
GSE11961_MEMORY_BCELL_DAY40_VS_GERMINAL_CENTER_BCELL_DAY40_DN	200	166		
GSE11961_MEMORY_BCELL_DAY40_VS_GERMINAL_CENTER_BCELL_DAY40_UP	198	168		
GSE11961_MEMORY_BCELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY40_DN	199	169		
GSE11961_MEMORY_BCELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY40_UP	200	159		
GSE11961_MEMORY_BCELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY7_DN	200	161		
GSE11961_MEMORY_BCELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY7_UP	200	175		
GSE11961_MEMORY_BCELL_DAY7_VS_MEMORY_BCELL_DAY40_DN	200	165		
GSE11961_MEMORY_BCELL_DAY7_VS_MEMORY_BCELL_DAY40_UP	199	171		
GSE11961_MEMORY_BCELL_DAY7_VS_PLASMA_CELL_DAY7_DN	200	167		
GSE11961_MEMORY_BCELL_DAY7_VS_PLASMA_CELL_DAY7_UP	199	177		
GSE11961_PLASMA_CELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY40_DN	199	167		
GSE11961_PLASMA_CELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY40_UP	200	158		
GSE11961_PLASMA_CELL_DAY7_VS_MEMORY_BCELL_DAY40_DN	198	148		
GSE11961_PLASMA_CELL_DAY7_VS_MEMORY_BCELL_DAY40_UP	200	166		
GSE11961_UNSTIM_VS_ANTI_IGM_AND_CD40_STIM_6H_FOLLICULAR_BCELL_DN	200	168		
GSE11961_UNSTIM_VS_ANTI_IGM_AND_CD40_STIM_6H_FOLLICULAR_BCELL_UP	200	177		
GSE11973_MIR223_KOVS_WT_BONE_MARROW_NEUTROPHIL_DN	177	157		
GSE11973_MIR223_KOVS_WT_BONE_MARROW_NEUTROPHIL_UP	200	168		
GSE12001_MIR223_KO_VS_WT_NEUTROPHIL_DN	200	178		
GSE12001_MIR223_KO_VS_WT_NEUTROPHIL_UP	175	148		
GSE12003_4D_VS_8D_CULTURE_BM_PROGENITOR_DN	137	115		
GSE12003_4D_VS_8D_CULTURE_BM_PROGENITOR_UP	174	138		
GSE12003_4D_VS_8D_CULTURE_MIR223_KO_BM_PROGENITOR_DN	168	148		
GSE12003_4D_VS_8D_CULTURE_MIR223_KO_BM_PROGENITOR_UP	152	104		
GSE12003_MIR223_KO_VS_WT_BM_PROGENITOR_4D_CULTURE_DN	200	150		
GSE12003_MIR223_KO_VS_WT_BM_PROGENITOR_4D_CULTURE_UP	200	171		
GSE12003_MIR223_KO_VS_WT_BM_PROGENITOR_8D_CULTURE_DN	146	114		
GSE12003_MIR223_KO_VS_WT_BM_PROGENITOR_8D_CULTURE_UP	125	93		
GSE12198_CTRL_VS_HIGH_IL2_STIM_NK_CELL_DN	200	166		
GSE12198_CTRL_VS_HIGH_IL2_STIM_NK_CELL_UP	199	163		
GSE12198_CTRL_VS_LOW_IL2_STIM_NK_CELL_DN	200	172		
GSE12198_CTRL_VS_LOW_IL2_STIM_NK_CELL_UP	200	166		
GSE12198_LOW_IL2_STIM_NK_CELL_VS_HIGH_IL2_STIM_NK_CELL_DN	200	154		
GSE12198_LOW_IL2_STIM_NK_CELL_VS_HIGH_IL2_STIM_NK_CELL_UP	200	178		
GSE12198_NK_VS_NK_ACT_EXPANSION_SYSTEM_DERIVED_NK_CELL_DN	200	175		
GSE12198_NK_VS_NK_ACT_EXPANSION_SYSTEM_DERIVED_NK_CELL_UP	200	163		
GSE12366_GC_BCELL_VS_PLASMA_CELL_DN	194	145		
GSE12366_GC_BCELL_VS_PLASMA_CELL_UP	197	170		
GSE12366_GC_VS_MEMORY_BCELL_DN	197	171		
GSE12366_GC_VS_MEMORY_BCELL_UP	198	170		
GSE12366_GC_VS_NAIVE_BCELL_DN	195	164		
GSE12366_GC_VS_NAIVE_BCELL_UP	198	173		
GSE12366_NAIVE_VS_MEMORY_BCELL_DN	193	161		
GSE12366_NAIVE_VS_MEMORY_BCELL_UP	195	158		
GSE12366_PLASMA_CELL_VS_MEMORY_BCELL_DN	199	175		
GSE12366_PLASMA_CELL_VS_MEMORY_BCELL_UP	192	156		
GSE12366_PLASMA_CELL_VS_NAIVE_BCELL_DN	199	182		
GSE12366_PLASMA_CELL_VS_NAIVE_BCELL_UP	195	152		
GSE12392_CD8A_POS_VS_NEG_SPLEEN_DC_DN	200	175		
GSE12392_CD8A_POS_VS_NEG_SPLEEN_DC_UP	200	161		
GSE12392_CD8A_POS_VS_NEG_SPLEEN_IFNB_KO_DC_DN	200	170		
GSE12392_CD8A_POS_VS_NEG_SPLEEN_IFNB_KO_DC_UP	200	172		
GSE12392_IFNAR_KO_VS_IFNB_KO_CD8_NEG_SPLEEN_DC_DN	200	161		
GSE12392_IFNAR_KO_VS_IFNB_KO_CD8_NEG_SPLEEN_DC_UP	199	175		
GSE12392_WT_VS_IFNAR_KO_CD8A_NEG_SPLEEN_DC_DN	198	160		
GSE12392_WT_VS_IFNAR_KO_CD8A_NEG_SPLEEN_DC_UP	200	177		
GSE12392_WT_VS_IFNB_KO_CD8A_NEG_SPLEEN_DC_DN	200	179		
GSE12392_WT_VS_IFNB_KO_CD8A_NEG_SPLEEN_DC_UP	200	168		
GSE12392_WT_VS_IFNB_KO_CD8A_POS_SPLEEN_DC_DN	200	151		
GSE12392_WT_VS_IFNB_KO_CD8A_POS_SPLEEN_DC_UP	200	172		
GSE12484_HEALTHY_VS_PERIDONTITIS_NEUTROPHILS_DN	152	127		
GSE12484_HEALTHY_VS_PERIDONTITIS_NEUTROPHILS_UP	139	89		
GSE12505_WT_VS_E2_2_HET_PDC_DN	158	125		
GSE12505_WT_VS_E2_2_HET_PDC_UP	131	97		
GSE12507_PDC_CELL_LINE_VS_IMMATUE_T_CELL_LINE_DN	144	101		
GSE12507_PDC_CELL_LINE_VS_IMMATUE_T_CELL_LINE_UP	153	132		
GSE12707_AT16L1_HYPOMORPH_VS_WT_THYMUS_DN	130	98		
GSE12707_AT16L1_HYPOMORPH_VS_WT_THYMUS_UP	130	95		
GSE12839_CTRL_VS_IL12_TREATED_PBMC_DN	127	91		
GSE12839_CTRL_VS_IL12_TREATED_PBMC_UP	149	130		
GSE12845_IGD_NEG_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN	199	176		
GSE12845_IGD_NEG_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_UP	197	164		
GSE12845_IGD_NEG_BLOOD_VS_NAIVE_TONSIL_BCELL_DN	197	172		
GSE12845_IGD_NEG_BLOOD_VS_NAIVE_TONSIL_BCELL_UP	198	174		
GSE12845_IGD_NEG_BLOOD_VS_PRE_GC_TONSIL_BCELL_DN	198	177		
GSE12845_IGD_NEG_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP	199	159		
GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN	199	174		
GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_UP	196	156		
GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_DN	199	176		
GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_UP	195	157		
GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_DN	200	179		
GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP	199	164		
GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_DN	196	164		
GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_UP	199	154		
GSE12845_NAIVE_VS_DARKZONE_GC_TONSIL_BCELL_DN	200	180		
GSE12845_NAIVE_VS_DARKZONE_GC_TONSIL_BCELL_UP	198	164		
GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_DN	200	171		
GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_UP	198	168		
GSE12845_PRE_GC_VS_DARKZONE_GC_TONSIL_BCELL_DN	199	169		
GSE12845_PRE_GC_VS_DARKZONE_GC_TONSIL_BCELL_UP	196	165		
GSE12963_ENV_NEF_VS_ENV_NEF_AND_VPR_DEFICIENT_HIV1_INF_CD4_TCELL_DN	151	120		
GSE12963_ENV_NEF_VS_ENV_NEF_AND_VPR_DEFICIENT_HIV1_INF_CD4_TCELL_UP	134	114		
GSE12963_UNINF_VS_ENV_AND_NEF_AND_VPR_DEFICIENT_HIV1_INF_CD4_TCELL_DN	134	107		
GSE12963_UNINF_VS_ENV_AND_NEF_AND_VPR_DEFICIENT_HIV1_INF_CD4_TCELL_UP	135	110		
GSE12963_UNINF_VS_ENV_AND_NEF_DEFICIENT_HIV1_INF_CD4_TCELL_DN	146	120		
GSE12963_UNINF_VS_ENV_AND_NEF_DEFICIENT_HIV1_INF_CD4_TCELL_UP	141	107		
GSE13173_UNTREATED_VS_IL12_TREATED_ACT_CD8_TCELL_DN	141	116		
GSE13173_UNTREATED_VS_IL12_TREATED_ACT_CD8_TCELL_UP	129	81		
GSE13229_IMM_VS_INTMATURE_NKCELL_DN	200	161		
GSE13229_IMM_VS_INTMATURE_NKCELL_UP	200	151		
GSE13229_IMM_VS_MATURE_NKCELL_DN	200	168		
GSE13229_IMM_VS_MATURE_NKCELL_UP	200	166		
GSE13229_MATURE_VS_INTMATURE_NKCELL_DN	198	167		
GSE13229_MATURE_VS_INTMATURE_NKCELL_UP	200	149		
GSE13306_LAMINA_PROPRIA_VS_SPLEEN_TREG_DN	200	160		
GSE13306_LAMINA_PROPRIA_VS_SPLEEN_TREG_UP	199	172		
GSE13306_RA_VS_UNTREATED_MEM_CD4_TCELL_DN	200	171		
GSE13306_RA_VS_UNTREATED_MEM_CD4_TCELL_UP	200	174		
GSE13306_RA_VS_UNTREATED_TCONV_DN	200	145		
GSE13306_RA_VS_UNTREATED_TCONV_UP	200	159		
GSE13306_RA_VS_UNTREATED_TREG_DN	200	163		
GSE13306_RA_VS_UNTREATED_TREG_UP	200	154		
GSE13306_TREG_RA_VS_TCONV_RA_DN	200	154		
GSE13306_TREG_RA_VS_TCONV_RA_UP	200	165		
GSE13306_TREG_VS_TCONV_DN	200	162		
GSE13306_TREG_VS_TCONV_LAMINA_PROPRIA_DN	200	153		
GSE13306_TREG_VS_TCONV_LAMINA_PROPRIA_UP	200	167		
GSE13306_TREG_VS_TCONV_SPLEEN_DN	199	161		
GSE13306_TREG_VS_TCONV_SPLEEN_UP	200	164		
GSE13306_TREG_VS_TCONV_UP	198	162		
GSE13411_IGM_MEMORY_BCELL_VS_PLASMA_CELL_DN	198	149		
GSE13411_IGM_MEMORY_BCELL_VS_PLASMA_CELL_UP	198	171		
GSE13411_IGM_VS_SWITCHED_MEMORY_BCELL_DN	198	176		
GSE13411_IGM_VS_SWITCHED_MEMORY_BCELL_UP	193	129		
GSE13411_NAIVE_BCELL_VS_PLASMA_CELL_DN	199	154		
GSE13411_NAIVE_BCELL_VS_PLASMA_CELL_UP	196	173		
GSE13411_NAIVE_VS_IGM_MEMORY_BCELL_DN	198	161		
GSE13411_NAIVE_VS_IGM_MEMORY_BCELL_UP	196	158		
GSE13411_NAIVE_VS_MEMORY_BCELL_DN	198	164		
GSE13411_NAIVE_VS_MEMORY_BCELL_UP	192	138		
GSE13411_NAIVE_VS_SWITCHED_MEMORY_BCELL_DN	198	172		
GSE13411_NAIVE_VS_SWITCHED_MEMORY_BCELL_UP	198	128		
GSE13411_PLASMA_CELL_VS_MEMORY_BCELL_DN	197	174		
GSE13411_PLASMA_CELL_VS_MEMORY_BCELL_UP	198	152		
GSE13411_SWITCHED_MEMORY_BCELL_VS_PLASMA_CELL_DN	195	139		
GSE13411_SWITCHED_MEMORY_BCELL_VS_PLASMA_CELL_UP	200	181		
GSE13484_12H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN	198	160		
GSE13484_12H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	200	163		
GSE13484_12H_VS_3H_YF17D_VACCINE_STIM_PBMC_DN	200	162		
GSE13484_12H_VS_3H_YF17D_VACCINE_STIM_PBMC_UP	200	172		
GSE13484_3H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN	198	169		
GSE13484_3H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	199	179		
GSE13484_UNSTIM_VS_12H_YF17D_VACCINE_STIM_PBMC_DN	200	169		
GSE13484_UNSTIM_VS_12H_YF17D_VACCINE_STIM_PBMC_UP	199	174		
GSE13484_UNSTIM_VS_3H_YF17D_VACCINE_STIM_PBMC_DN	200	175		
