	baseMean	log2FoldChange	lfcSE	pvalue	padj
PAFAH2	73.483375685073	-0.0500309685107849	0.0831340176799847	0.422308762358725	0.617892703853596
DNAJC8	1126.69561606905	0.0877640774046512	0.0647973322438501	0.0934649366964427	0.218463539414518
SESN2	2785.01054223908	0.275329960784828	0.168615743299299	0.017752406396526	0.0584437622423871
SERINC2	200.040513860274	-0.126057597870076	0.141716725953524	0.173004013502389	0.343091908163775
AJAP1	1.13989468110689	-0.00558256957763989	0.227459840057061	0.961250003503863	0.981815838773665
PTAFR	8395.40632670442	-0.230924838261171	0.0941788567058807	0.00244107110040798	0.0110123830217046
NKAIN1	7.04677186786395	0.216750675417259	0.217709423379971	0.0878312908156458	0.208372724527007
SNRNP40	232.542165590365	-0.367497378164261	0.0914231397626105	1.1271214536863e-05	9.06632174786915e-05
SLC25A33	216.525424633113	0.0322307251118075	0.058612026658383	0.505639356359272	0.692789926388506
EYA3	714.006037728534	-0.312430032286215	0.0973995022623489	0.000217677041284254	0.00131423791122794
FABP3	6.90296117590286	-0.781709559380627	0.250608801377705	6.21709425464862e-05	0.000427549904357119
EPHA2	5.19757889216522	0.569101154972635	0.307414661513483	0.00336651124716357	0.0144703019472817
AL805961.1	0.880843818613018	-0.0552048779936004	0.273045688366585	0.653927869996853	0.803056989140869
ARHGEF19	16.6617201698684	-0.0180937811706398	0.123036298660663	0.826046038139553	0.911580576340978
KAZN	33.2274058256274	0.0735179949599458	0.111748138092818	0.340267898965937	0.540019459245902
TNFRSF1B	21116.0661730081	-0.115494531620192	0.0947491094096192	0.0966085552147638	0.223752547512267
LINC01226	17.2264505976818	0.251098430808032	0.221775516178514	0.0568036667016292	0.149845159750349
UBE4B	749.489278748329	-0.146419353453033	0.0806786613989731	0.0203763573495757	0.0655573590915003
TMEM51-AS1	39.1552733354908	-0.674107681845944	0.21365059013431	7.05033623715994e-05	0.000477667824879167
PLA2G5	0.668895988922888	0.152461975297408	0.318960944124169	0.27229042484719	0.466641027266368
PTPRU	16.9995818338122	0.0266618316628879	0.158474886604968	0.783293244240187	0.887163829125107
ZMYM6	1.63344596764935	-0.132766250707168	0.257376684547427	0.29888935011762	0.495523911692866
AGO4	2181.83284276891	0.0211262028258619	0.0441201872743259	0.585868530161313	0.75413393034715
RSG1	8.03877542943538	-0.105544220850863	0.165896452813416	0.298328193501649	0.495072256592462
PAX7	0.860399619675399	0.00566401976210102	0.232525936199101	0.960986458791742	0.981809568409081
CASZ1	171.984806021437	0.0219419680674354	0.0831882364656372	0.725198336925829	0.850956184324141
DNALI1	15.8888533493197	-0.219988392872054	0.177678252571337	0.0537396241634372	0.143528881981683
AC096540.1	1.48720786476873	-0.691975512974729	0.49470650036459	0.00626248198230694	0.0245722405163897
RRAGC	419.086717242029	-0.0879982447606284	0.102317268248932	0.225700981250586	0.412032950954845
SPCS2P4	103.007769487072	0.111941474691364	0.0782892272669082	0.0644797111374745	0.164484817302836
GRIK3	1.34946440507949	0.169101144279105	0.289701087238387	0.218444996715251	0.403621071516972
RCC2	1828.15517522653	-0.0512091818311656	0.0705079799305865	0.355445843765828	0.555706533038954
AL354702.1	3.82727127459131	0.0450792106610587	0.166225792614408	0.651775128107227	0.801494068081349
AL365255.1	0.729519722335757	-0.0774480325059668	0.326176959906656	0.548143023748669	0.726058378824039
PSMB2	1352.2412086542	0.0831161147485609	0.0512849358863378	0.0578068167560871	0.151752112984594
SELENOWP1	4.07727383555655	-0.0262493450580153	0.159581873208552	0.787407892283758	0.889714705745778
AL354702.2	2.28477138710802	-0.0713456231718352	0.238411047358948	0.549491734783726	0.727283026817827
THRAP3	2416.65232128888	-0.0535559227065886	0.0793781528365601	0.374725080609112	0.573771637045176
AL033529.1	2.39597215715558	0.109636258424389	0.210045213380149	0.342903699425211	0.542570479804148
AL034379.1	3.153333059502	0.251740817973821	0.24389969479191	0.0680553932611524	0.171364106411333
PADI6	9.9252316580773	0.0936462062738758	0.227614880477243	0.429812518594721	0.624651955262395
PADI4	1003.90105675127	0.0369279550190788	0.0989183100360577	0.600806683575607	0.76508220827155
ZMYM4	471.44328955713	0.016658963124891	0.0539955017827281	0.714585982597655	0.844086802330876
AC114490.2	3.41493185867754	0.0464694939764667	0.17270872028377	0.648949208276321	0.799854515531855
C1orf216	189.614404955635	-0.685917310111389	0.126956497956405	2.76599445273912e-09	4.28562514002711e-08
ACTL8	0.554392340393035	-0.0251133902769847	0.265751526465966	0.835358015430325	0.916269797717827
RLF	1248.28364968367	0.0743334298036513	0.0815524568092259	0.22775888495298	0.414696504395299
CLSPN	46.1463483485074	0.4128014928456	0.0934596618468549	1.93902043859232e-06	1.80940065961341e-05
GNL2	816.439846651664	-0.0679667547444283	0.07711097614212	0.250592108151726	0.442264316783798
AC119428.2	3.69037786180455	0.308013036291853	0.282522364475714	0.0457792895434754	0.126385973654441
FCF1P6	2.61224572155279	0.122524304162408	0.220186055758623	0.303486865791746	0.500845825355387
MORN1	30.3727720062183	-0.10009699717014	0.121247234743347	0.223246468166533	0.409647046343171
TTC22	1.88259906313232	0.110856053417244	0.274126136232351	0.387214950904641	0.585359990435228
TIE1	2.51952052173775	0.0512923072375987	0.20586599925465	0.645461942153525	0.797371813265546
DLGAP3	31.3660467056573	0.0364424819077342	0.132224936938261	0.673399261732197	0.817262192367682
RIMS3	15.8868506259723	-0.111703540478932	0.154239011574013	0.250381904555383	0.442160979068532
RAB3B	2.87138312619753	-0.108396839173037	0.24366135618736	0.37806230593375	0.576393746805931
SMIM12	749.204974848719	-0.463914845808955	0.0768912388018954	3.01692424354145e-10	5.53264110829847e-09
AL596275.2	2.80464100126526	1.36111258247309	0.588142994767401	0.000256356865901683	0.00152274794249222
C1orf123	254.901600844269	0.000273779765165219	0.0547633826066663	0.995258939360888	0.998226093788869
OSBPL9	801.322412146988	0.0719991695873797	0.0542466849347678	0.114839246377432	0.254379624659494
PARS2	9.2887195385703	-0.506972416089286	0.241690097185496	0.00237633828445124	0.0107628299671734
AC119674.2	15.580284922073	0.22859756286093	0.216204523611403	0.073585661097624	0.182223921379794
ZYG11B	323.315139986706	-0.098089740300266	0.0642147353501289	0.0598445356574995	0.15555345700969
AL606760.3	1.8909525078804	-0.21921615641862	0.296637392018162	0.13111108001311	0.280488831602178
L1TD1	22.078991973707	-0.258549707894286	0.304030057775492	0.0888106775306711	0.210042356421964
AC114490.3	9.43333716817717	-0.36199928037444	0.211072848577871	0.0102223906556061	0.036772012260446
TXNDC12	80.3086771595357	-0.563639019494961	0.0945946322930772	2.23011588047567e-10	4.20655199648971e-09
AC093425.1	117.920905566406	-0.0320478735503118	0.107290363237074	0.668256192526014	0.813842584729801
AC103923.1	4.69140548391067	0.123712686153423	0.207598517534127	0.285853801497264	0.481911333028079
TTC4	2.7801233198775	-0.0248056792869432	0.203434919425443	0.821884285023672	0.909002958968344
PLPP3	368.170443156649	-0.0193618552626398	0.152073731055237	0.837716592701528	0.917575033133106
SNIP1	645.961098083661	0.015105751174155	0.0397943059240938	0.671184362376178	0.816066267225211
CPT2	66.9017917808278	-0.641476483619862	0.0923072610015868	1.78673099369491e-13	5.29737419686836e-12
FOXJ3	1164.45612244933	-0.191671767731567	0.0409959982216217	4.67481639949259e-07	4.91763917361756e-06
ZCCHC11	256.471941874324	-0.145803142646791	0.0735990708818051	0.0134808247484696	0.0464469943108692
MAGOH	349.525382810305	0.045780820657412	0.0421155266753148	0.218879419529724	0.403988422698565
LINC01707	0.904266133814352	0.0448444457921631	0.240039386427044	0.703993301652965	0.837691775087405
CDKN2C	58.2402015030336	-0.0272434926124058	0.0859406845782339	0.669711476058054	0.815094246502456
LINC01771	3.32759664147535	-0.0465746600022459	0.194500298432749	0.667694063926225	0.813577482582768
C1orf87	0.444075831694142	0.108186672186362	0.344608094885013	0.418512109600149	0.614522598096957
ZSWIM5	101.499790457817	1.31802463647248	0.176403314483523	6.07075820759254e-15	2.1799637151732e-13
SLC35D1	286.784535842155	0.0593185013565682	0.0602522406091343	0.229743626694678	0.41715862231058
LRP8	181.054649536518	-0.203291318998537	0.108334871050684	0.0128664944342971	0.0446971111734083
TCEANC2	83.9811901066238	0.0280619101734992	0.0762634101100175	0.632359366968763	0.788045929062398
LRRC42	134.638994426598	0.0406332368074593	0.0740221522141584	0.478963973565372	0.669676108948671
KANK4	21.9601698067195	-0.00339033793924705	0.120275451623806	0.966639688388548	0.984583843784108
USP1	279.243910611882	-0.271311743599441	0.0640211875984447	4.11535374528786e-06	3.60636791580251e-05
AK5	7.32298317313431	0.24557319319005	0.19088368979704	0.0430006797563633	0.120051829941239
GIPC2	45.6982477174182	1.15294922057038	0.174126537382338	2.41940538291059e-12	6.1763877368199e-11
RPE65	7.87555557413589	1.20996915924406	0.394427988665322	5.00052839750955e-05	0.000351523308189807
AL033530.1	0.914127558705713	0.0581843702048812	0.246799464980116	0.627203888111703	0.784983920275903
DNAJC6	164.150896895297	0.516844412722487	0.15352006329197	6.71586063229091e-05	0.000457265216313758
AK4	740.839839390701	0.65253558066304	0.143774611855315	2.88534862328649e-07	3.14287629818649e-06
CACHD1	24.549344321285	0.240365460271238	0.189236650336795	0.0456009631298362	0.125978170966637
MCOLN2	149.036104192333	1.43514550735262	0.271896447695321	6.82682478598471e-09	9.91012183021186e-08
ST6GALNAC5	1.69321412937473	-0.0571369300375901	0.234651818929122	0.62737381854257	0.785043882035483
ATG4C	106.455484830127	0.195408899971183	0.123118913647212	0.0272464593769678	0.0832402595605774
ADGRL4	3.6657435490627	0.426155360696783	0.333841564670316	0.0189472058045122	0.061715641385728
AL096829.2	8.67755176465552	0.0465903745485969	0.138156789503922	0.600924307773428	0.765120998292922
TTLL7	26.6554631325011	0.0309228807615978	0.129298272698361	0.716513865037029	0.845548823526148
AC105277.1	30.871550422435	-0.935162170987198	0.179563408742944	7.3326440240849e-09	1.05803985581747e-07
ZNHIT6	53.9672465173089	-0.308658121591002	0.129332615809526	0.00248320856508228	0.0111560042434788
PTGFR	31.8105135353454	-0.00610186442409241	0.171518539894178	0.95194324111708	0.976478594607161
AC099062.1	1.86340872652992	1.94651537541007	0.58174096747808	8.6068784288785e-06	7.05839500010379e-05
LMO4	846.404512748722	-0.052044540749485	0.0818525871412305	0.398686667806295	0.595353572594697
PRPF38A	207.541662721831	-0.0672774093399729	0.0660481972260579	0.203324133781641	0.384130613404221
PIGK	197.938230120082	0.119427145324097	0.0807775195279084	0.0546618275722027	0.14551970036559
HNRNPA3P12	3.61281096046179	0.07412478503671	0.178744847644812	0.479263261053233	0.669805859096224
PKN2-AS1	43.3944918664024	0.251239349393877	0.0960649437595335	0.00145296423456975	0.00704268364911829
DOCK7	312.501921293724	0.129782330452619	0.106281854677147	0.0876195412403784	0.207966279912565
NEGR1	53.6913413587696	0.238444197587646	0.217766115290168	0.0651059923089686	0.165630674795912
KYAT3	319.353868447508	0.201437228798208	0.078667600179752	0.00191529672481121	0.00890602156151763
SHISAL2A	7.8756475957338	-0.69416177059224	0.291652769705253	0.00065113769460537	0.0034745745510588
AC093423.3	17.9026547522262	0.443842126225807	0.202769381372085	0.00247915243315525	0.0111426475457847
DNTTIP2	2712.15930190098	0.294725091851524	0.107102827476821	0.000914804786046867	0.004687007788272
PTPRF	1.18690606107608	0.0908149708875934	0.253188197740559	0.460864325401868	0.653856644532355
DHCR24	332.185256170037	0.0132302195911552	0.111213231713298	0.863133727962346	0.930516587370493
COL24A1	211.610275085692	0.0239784627225292	0.116466701754272	0.762221007819932	0.872897926427392
GPX7	30.9453066334462	-0.0601513944700577	0.1562729770041	0.53323240039428	0.714143749933209
SLC44A3	1.33889140570177	0.384030538552238	0.442290087380253	0.0458467743739074	0.12655205623439
LINC01362	19.2728798312054	0.149240431852231	0.208209418014791	0.206017712152446	0.38754986700025
PKN2	790.861360068052	0.0778538663005877	0.0583296970727303	0.10690172010228	0.241238187412208
AL596275.1	10.7930545165088	-0.0492725329922189	0.113387638960081	0.526257364175463	0.708382592316596
AL031289.1	21.977319084171	-0.0271682912567334	0.0971732088031192	0.696738134060289	0.832138602648276
LINC01364	23.9760773996271	-0.319525996471755	0.174016439797646	0.0093504069087601	0.0341926371224198
AC099671.1	0.486215870442146	0.165991114029661	0.358631079417651	0.249721464465265	0.441469959003118
MIR4422HG	4.30943685389328	0.851110673278753	0.365465184357437	0.000546083946225193	0.00297885028566531
ABCD3	315.607761188724	-0.0486486323968449	0.065179589910812	0.352656485981679	0.552900019472648
MROH7-TTC4	28.0546068829982	1.20738521520854	0.212108503671192	7.45667781570433e-10	1.2785716894661e-08
ALG14	34.3430799003178	-0.0200346837774812	0.0992414883110693	0.777147083301829	0.883213387794446
AC118549.1	391.891138713749	-0.287541195818696	0.0605124813910198	4.15704862723333e-07	4.40904291515221e-06
YIPF1	596.817707318038	0.356229770353808	0.0738513409203794	3.33820414595837e-07	3.58678268967308e-06
AC118553.2	4.75009488163526	0.375049812035628	0.296680971667898	0.0241325237768795	0.075246372061384
HIVEP3	3841.47488406888	-0.0771727311727061	0.116096413936588	0.330147883843371	0.530091522275553
BCAR3	469.270267480082	1.06022929711977	0.158311058709341	1.26863474268041e-12	3.35088940505677e-11
AL512599.1	1.29302245011376	-0.0550922157051286	0.216525496112823	0.629046968598755	0.786251392655083
CNN3	1.39010737671101	0.0943539151232011	0.270617107767955	0.454183687082679	0.647829013814821
AC092506.1	4.23674699416001	-0.0460938539127126	0.19964730217231	0.674619917235498	0.817730746217237
VAV3	2144.92097531003	-0.390153981908234	0.0974883254401476	1.15911522713407e-05	9.29460440900645e-05
EEF1A1P11	155.554471279447	0.0708547964024708	0.09092942216726	0.287093310484777	0.483228651412327
DPYD	7657.10003372266	0.0893920003221954	0.0539185692192278	0.0499391535292208	0.135560425200165
AC114485.1	1.35446324024366	0.0329619279858869	0.221023409068901	0.772801039933017	0.880263651393829
LRRC8D	435.213889735651	-0.102287415300062	0.0897451617048429	0.123958656672369	0.268789910230993
S1PR1	59.5888007370371	-0.900859627682843	0.197104206001161	1.71995335666833e-07	1.94449232235206e-06
AL512844.2	7.94622210826881	0.0273137581811655	0.13356842654422	0.753648075282307	0.867139898060099
KIAA1324	14.0618859065596	0.196684635400116	0.18588103772106	0.086847384957392	0.206658007734856
ARHGAP29	32.8977736829473	0.273166016466163	0.177940011617388	0.0222854264107994	0.0704694842213937
AL049796.1	43.1632285884771	1.15509551438247	0.148824425440504	6.61444584880291e-16	2.65818042548767e-14
AC099566.1	0.318767196447378	0.090477475817793	0.339943945012986	0.48967032690287	0.679319979326746
AC104506.1	11.1403528327594	0.154883294364854	0.168755043202101	0.141236538207815	0.295694241978429
PGM1	456.414394489582	-0.0231377345711796	0.0758739238848739	0.692235408998657	0.82921556590536
IGSF21	2.27010792219033	0.155485183724897	0.272023569199585	0.241901962214729	0.432251391622255
COA7	69.7572569685198	-0.323832532930816	0.151648886484209	0.00451753999810576	0.0186990350032235
AC095032.1	27.0608930369009	0.0385589175739359	0.106934357274495	0.605214099053594	0.767965128032541
OLFML3	12.2103121816591	0.425293501007828	0.190889282462009	0.00244228298724699	0.0110145020476367
GCLM	1162.1448877124	0.344901408861942	0.152127456164633	0.00303302586281272	0.013244384582605
TGFBR3	72.0849261212776	0.575090452611324	0.211887047525575	0.000379608792361608	0.00214583255814078
VAV3-AS1	93.3341817526345	-0.641589732427412	0.162123092808782	4.03355454770128e-06	3.53769899290287e-05
AL109741.2	5.26838500869799	-0.0474599772056282	0.13495085581657	0.588366452247936	0.756085319847044
AL355306.2	1.39995022891915	0.0774965533336185	0.24164456567204	0.519051179554662	0.702123270693362
SZT2	529.734687599369	-0.0318554387349105	0.0579728925513717	0.507130048477838	0.69387252515664
PHTF1	436.952154538478	-0.212081649361673	0.0810462828100613	0.00156138950603326	0.00748361296905202
F3	7268.11068694056	1.98643309250131	0.185440280771551	4.59852363917736e-28	8.76103911108458e-26
VCAM1	1.12639708375655	0.233673325683347	0.413780756988784	0.144561149493992	0.301092237269802
HSP90B3P	16.7865016474969	0.0324160845224969	0.145514027413378	0.724688542431214	0.850658420278662
LINC01787	6.85638556684049	1.56288332753113	0.428171757912319	6.31716894062442e-06	5.35787585005309e-05
LINC01708	1.68905788123699	0.0335341526695964	0.210571812393554	0.764631627664323	0.874497951226757
GPR88	4.51840380488402	0.846143249329524	0.376725530338326	0.000677734809713371	0.00359779965032568
MAN1A2	1708.16764395652	0.0250407695050983	0.0626664416332687	0.622805018359266	0.781344799570774
AL357055.3	7.17037612812889	0.447552979119585	0.216892573375156	0.00326964428308491	0.0141188249252372
LPAR3	78.1820024565591	0.212430799640295	0.182102531561635	0.0646190225969028	0.164738075697419
AC092802.2	3.96665541864817	0.0671694808104146	0.182723762016663	0.525449624319051	0.707743058950552
CTTNBP2NL	358.592156588519	-0.954019293363187	0.140391458450328	4.95222823001837e-13	1.37698713595754e-11
LINC01525	0.793485356920364	0.0595754456538244	0.24831039277565	0.619922807171855	0.779630320907529
SLC25A24	1334.16089763397	0.0352729343609423	0.0571481645944182	0.457703441279276	0.651137219856432
PIFO	2.18702088359727	0.252857744020058	0.304868474207029	0.0946607166222849	0.220480254367197
TSPAN2	117.384189457226	-0.0509828245466894	0.114459396874777	0.514810702661952	0.698903397413389
LRIG2	342.974146250795	0.0413206709204279	0.0770871816284155	0.484321827600313	0.673893933401176
AL359258.3	2.86032662382576	0.0676574308144408	0.199614466946172	0.54064155799572	0.719642948461634
AGL	102.742257875988	0.113535832296344	0.0908268788288202	0.0920331488549394	0.215901635708988
AL445231.1	9.06046770230159	-0.170757312471686	0.197016520319353	0.14231255651453	0.297432520349717
GAPDHP64	1.30007692507141	-0.040024312542841	0.207612442543413	0.7196717657439	0.847337072782753
RNPC3	263.632753243673	-0.0632797140051835	0.071659118181407	0.259288573343077	0.452858134717524
SNX7	6.44867227066352	0.302975581807089	0.369945191190173	0.0733380310736443	0.18174193994596
LINC01709	0.757707792400084	-0.0482994557727493	0.278033756698416	0.69508058219211	0.830890753261615
SLC30A7	1349.29409748488	0.138882937550657	0.0701383473062	0.0143027938861339	0.0488536333003139
SEC22B	1106.72364789352	0.156961295044728	0.086430424257996	0.0189071295051497	0.0615948538153831
PTGFRN	163.649241535625	-0.0633868430402263	0.113820078443367	0.416483643695936	0.612724685591847
ZNF326	407.679725247049	-0.0190535478303009	0.0599386069344552	0.699019476762762	0.833895219960029
TRIM45	29.5812077850787	1.63034262960754	0.203982229065869	7.79984278985401e-17	3.5664347832008e-15
NBPF17P	4.10869589790029	0.0395269254104199	0.173165445358627	0.698654650428098	0.833692152957451
SEPT2P1	25.4025789747315	-0.0124913341036227	0.0844218678421981	0.843072712141634	0.919488186421407
LINC01780	0.908290524864224	-0.564130160794251	0.60899146128113	0.0192182478950582	0.0624699318623568
FAM46C	179.201414619979	0.223861871893889	0.186498694375193	0.0570218260998991	0.150266533533751
LINC01731	4.02342208262009	0.195745689518444	0.260396896320655	0.148078995724498	0.306426791965728
SYCP1	1.98212389712714	0.129298348786183	0.254954049649	0.308689723307839	0.506184232290571
PIP5K1A	770.034950172276	-0.037151869296971	0.0461285237047575	0.354790152634427	0.554892230207203
GDAP2	839.125625814468	-0.167278317284127	0.0500833095283563	0.000165405742672009	0.00102697301183441
WDR3	87.0609933759794	-0.112610887400431	0.0789855352396768	0.0646731720132614	0.164835276519865
AC244021.1	7.74099278365058	0.216972243832089	0.238977585677369	0.102237890415831	0.233375508453089
PSMC1P12	3.07961006585847	-0.0729929441812963	0.182829889913083	0.491142810170131	0.680522185997347
SLC22A15	800.919389250868	-0.6222053513336	0.097900390775423	1.17193798481461e-11	2.67040929961743e-10
SCNM1	472.925257029591	-0.0314760274580378	0.0574990477474232	0.509602176948746	0.695517111301117
AC244669.2	18.9483714751293	1.54017890860995	0.236547309834522	4.39902227902652e-12	1.07883530885876e-10
FLG-AS1	2.13444801859575	-0.0278881748422946	0.203049229792947	0.800136743659625	0.896289977804386
CDC14A	301.711378521733	-0.015546368568513	0.07634844328038	0.791241822953952	0.891462801957954
CD53	15388.501964124	0.171178211819504	0.0443922616158104	2.11666320999997e-05	0.000160414225447364
SRGAP2C	134.399202398943	0.217863495010742	0.135269217796506	0.023484641381959	0.0735252996331799
SPAG17	4.48901418395751	0.155158169233136	0.199716961969456	0.180922059381224	0.354283915159277
TTF2	259.988422771633	0.484835040105479	0.111690667946938	1.91266197365261e-06	1.78642454697577e-05
MAGI3	165.483873811156	0.141510492124604	0.145228538711791	0.135693851059249	0.28730568835101
KCNC4-AS1	1.668272711171	-0.155020779464998	0.261157652896163	0.236199584634992	0.425126194318545
LINC01649	1.61404604213527	0.0524419657140171	0.254264707930109	0.663652541731118	0.810472626794001
GABPB2	179.775988083935	0.135395451604978	0.0570140734938182	0.00514468800395974	0.0208667653005077
CD5L	2.69191329046742	-0.0806564918583526	0.211330711787051	0.479780465560661	0.670285365248245
AL592494.1	9.4505215231969	0.472844900000233	0.266303973582774	0.00561576851335803	0.0224587080526443
LINC01768	5.30325163108536	-0.402828570106967	0.298725446072381	0.0181434536565872	0.0595006160825453
PNRC2P1	69.4653279342691	0.501161570320019	0.0906188630009061	4.47335100350892e-09	6.67466789327046e-08
CD2	21.4983863968079	0.046913133665098	0.157539186000932	0.627973840936654	0.785578170665892
AL357055.2	2.62269739237466	0.00133325424845458	0.202851208320157	0.990314140063833	0.996591127692048
DEPDC1	2.19916257183542	0.0928313947554022	0.265796110243525	0.458592966644864	0.65179170157026
AL450468.1	1.58268315753284	0.0626283563130401	0.259510146972679	0.607572995865471	0.769771760813709
AL121987.1	1.17360033545929	0.476582464410582	0.533817524067707	0.0291801436844441	0.0880496607202113
AL592295.3	16.5755356860799	-0.0856868846521975	0.134700813599241	0.330425631093116	0.530413308267432
GPR89A	13.6290957646124	0.00981232244191094	0.10576965730327	0.894626664060608	0.946965414266758
AL450468.2	31.1801381353556	0.0429932456604064	0.13368929354969	0.621674225090529	0.780530792099255
GTF2B	1378.79614855257	0.386694323030124	0.0728774749406575	2.78314330254461e-08	3.63362668738311e-07
TNFSF4	10.2216960279294	0.966949850388973	0.237741272887089	1.65044648949477e-06	1.56351689538878e-05
KCNJ9	1.63617969502489	0.197987067149287	0.300634146943035	0.166077506689545	0.332996567690907
AL450992.1	304.554470800037	0.0371356603072538	0.0606001587809697	0.454268152831935	0.647883933781791
CSF1	1829.20701813478	-0.14666637135585	0.207790037751657	0.212689677469103	0.39618891939202
LINC01307	0.769769236584871	0.163531182389871	0.324352606363782	0.246421743394397	0.437251965512513
IGSF8	199.86167416852	0.24377938984192	0.120789465233685	0.00777318107605105	0.0293739162205374
MPC2	220.667661254981	0.00140865478092133	0.0696517036411378	0.979571617749766	0.991041190508359
LINC00624	4.63671411390566	0.253061895557805	0.220144631632452	0.0544080811715357	0.144994259575899
C1orf112	53.240890491085	0.00993762537756259	0.0896472944481252	0.880063549183833	0.939561932359522
LAMC1	635.793560855443	0.153690252559882	0.152679295082142	0.11965279695855	0.261773094122182
AL512844.1	46.2558779932238	0.107092501902887	0.102422163174775	0.143297320353946	0.299035057160526
AL022100.1	6.51138104573164	-0.0803723977157046	0.175064474342533	0.438663461694818	0.632821944039302
AL121985.3	3.01475589534578	0.0808077866395973	0.244838503689544	0.504153752545734	0.691426222247619
MGST3	734.43085363268	-0.0121007742927915	0.0520154247442655	0.784598479027386	0.887988301875863
CASQ1	3.87737929040753	0.113998196758545	0.205105728041916	0.319739609649925	0.518191730321114
ILF2	1386.61403530209	0.028505123220691	0.041735104427537	0.440895095566259	0.635223989207063
