	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol
ALG14	35.0526849084035	-0.0236579546259269	0.16741302807982	0.825166794309217	0.913208316616061	ALG14
AC118549.1	334.762519534763	-0.0265925432512426	0.100070479720828	0.762273249558687	0.880543274935009	AC118549.1
YIPF1	638.373939155042	0.032351459175198	0.111865380540446	0.732804694058592	0.863139010476305	YIPF1
AC118553.2	4.67765637490059	1.22713708426447	0.606269081853958	2.13544982019179e-05	NA	AC118553.2
HIVEP3	3502.96481055324	-0.181066171935443	0.155580896370197	0.100115471439987	0.283097655683737	HIVEP3
BCAR3	592.017780897089	0.0628125335209057	0.159407205583984	0.561480297839064	0.755005740596792	BCAR3
AC092506.1	2.42898354714272	0.0309244676658488	0.219800831671107	NA	NA	AC092506.1
VAV3	1734.78465197863	-0.445322671646202	0.116829869189174	4.91855402540271e-06	0.00063868870653391	VAV3
EEF1A1P11	158.246610124281	-0.000128637600701053	0.123641607085372	0.998977252864609	0.999279035887905	EEF1A1P11
DPYD	7530.00763588078	-0.0732996732669037	0.0841949889402949	0.341077600481422	0.577473196775716	DPYD
AC114485.1	1.59067545373811	0.0539166255174004	0.230448929872643	0.438209909996695	NA	AC114485.1
LRRC8D	389.564358427069	0.233550603549467	0.128643731198061	0.0233517126612773	0.117915910864894	LRRC8D
S1PR1	37.814876744899	-0.060855183289518	0.187083560933896	0.549676686142451	0.747008344644036	S1PR1
AL512844.2	8.14444583424644	0.0163234974114818	0.192121335666831	0.867108956019328	NA	AL512844.2
KIAA1324	14.6530038413757	0.0276371014174426	0.190991714932508	0.778981091609144	0.889678758158412	KIAA1324
ARHGAP29	36.5013080471616	0.00104484864290738	0.177377911306739	0.992025091052527	0.996161662698311	ARHGAP29
AL049796.1	53.6858875805679	0.242104658278314	0.173042693897549	0.0332334393806522	0.146238174284631	AL049796.1
AC104506.1	11.2079887146225	0.0141685272892959	0.184801833010323	0.889049458632071	0.946079473949361	AC104506.1
PGM1	436.489725676922	0.0918243114554108	0.130150003478605	0.372667331957878	0.606539248952027	PGM1
IGSF21	2.41660471901526	0.0416543289433641	0.23429463320177	0.510085155945953	NA	IGSF21
COA7	60.0106779258351	-0.262453604201741	0.179916114484357	0.0225587681828645	0.11545242835473	COA7
AC095032.1	27.4769470635403	-0.0912246030682047	0.170267550407396	0.397615601459278	0.628525914945475	AC095032.1
OLFML3	13.0018156586406	-0.00959801559083007	0.181678246825014	0.925706344509484	0.963904610068704	OLFML3
GCLM	1215.34177410197	-0.480287978415671	0.20743202848961	0.000209338962561229	0.00646315748047429	GCLM
TGFBR3	78.5247557177216	0.109593599230055	0.180005485395898	0.303767748110089	0.543116066916593	TGFBR3
VAV3-AS1	67.6423561129536	-0.250808331414523	0.17728468488995	0.0282782314887066	0.133078336359499	VAV3-AS1
AL109741.2	5.14349474398817	0.0377939981974253	0.19116747562487	0.701724684483874	NA	AL109741.2
AL355306.2	1.67002255261606	-0.111342909730188	0.248551020183643	0.145896062837447	NA	AL355306.2
SZT2	487.83845747436	-0.160409178539268	0.100336728496929	0.0683883443688315	0.225436441305419	SZT2
PHTF1	380.3806687671	-0.344056835062312	0.107252760780733	0.000185812282687551	0.00604852550092402	PHTF1
F3	10852.6529942842	-0.287141683776491	0.192682566988061	0.0142012870987827	0.0874052265907885	F3
HSP90B3P	16.9178174331886	0.201282678812289	0.211429661651892	0.0607160132687143	0.209750546620793	HSP90B3P
LINC01787	11.5129060135505	-0.128766930001899	0.252711415222134	0.11007390159886	0.299360941568062	LINC01787
LINC01708	2.05866244722416	-0.0861645857834521	0.236565282350937	0.246649333343289	NA	LINC01708
GPR88	5.36099875611256	0.205332460136314	0.25835921218618	0.0397071512293078	NA	GPR88
MAN1A2	1640.77954972417	0.0771129106921016	0.108360453387982	0.406248426618206	0.63544099758889	MAN1A2
AL357055.3	6.95538249578001	-0.142078456920889	0.20090695037841	0.165590467133902	NA	AL357055.3
LPAR3	87.9025337721333	0.0806072486407125	0.18253549818414	0.440232637318242	0.661697830376772	LPAR3
AC092802.2	4.47230350313673	-0.011858736065436	0.210574070098211	0.885865812988	NA	AC092802.2
CTTNBP2NL	235.645285288035	-0.403451044414709	0.174393522331021	0.000742506314633337	0.0143739843020318	CTTNBP2NL
SLC25A24	1277.49289211569	0.0559133061240465	0.0895905542120715	0.489491593041674	0.700608925591139	SLC25A24
PIFO	2.68976573772688	-0.0423165307908545	0.221710141222657	0.571049402353078	NA	PIFO
TSPAN2	107.277408234068	0.0130631411451587	0.164328348158096	0.903238631870817	0.953030803722534	TSPAN2
LRIG2	335.162700915391	-0.240947839185607	0.131419369909026	0.0207201088831436	0.109748612093369	LRIG2
AL359258.3	2.82595903209811	0.187649431432611	0.269767516023405	0.0448865661610072	NA	AL359258.3
AGL	106.582362212494	0.0924797338959903	0.129096289180544	0.367480311716762	0.602684092210069	AGL
AL445231.1	6.3968632854639	0.216697252104454	0.250839552691839	0.0361706435363227	NA	AL445231.1
RNPC3	238.469008700327	-0.00517409720642894	0.102339739936248	0.953805211415342	0.975985014307494	RNPC3
SNX7	8.88794487175137	-0.0982998920442836	0.247254194406545	0.177121204699976	NA	SNX7
LINC01709	0.652410415451926	0.0534005235334295	0.243885941207835	0.365915943686204	NA	LINC01709
SLC30A7	1312.12289867894	-0.10284031057058	0.111447285181828	0.276758942296899	0.513399466487735	SLC30A7
SEC22B	1079.00464571815	-0.247035392638038	0.122397686890648	0.0137166771414142	0.085374712752834	SEC22B
PTGFRN	148.574638881151	-0.0450624540967341	0.163573150489236	0.675825352729266	0.831845657156668	PTGFRN
ZNF326	384.173952255973	-0.240198863235342	0.105224708596612	0.0082704360780745	0.0627373197765366	ZNF326
TRIM45	42.4256309382582	-0.123239494527159	0.17067038350408	0.25739163611546	0.49229634950892	TRIM45
NBPF17P	4.39975716235683	-0.201233419604619	0.248355197164193	0.0453214497568248	NA	NBPF17P
SEPT2P1	25.3303935980485	0.0298398493656603	0.134166263479778	0.77455823309884	0.887818610089122	SEPT2P1
FAM46C	181.890151666394	0.0914575802910731	0.179003908968827	0.388285812229699	0.620142961893448	FAM46C
LINC01731	4.36891939148429	-1.33230826402347	0.790559121661043	3.17717044888218e-05	NA	LINC01731
SYCP1	1.56457044378769	0.0111716904086103	0.225070761928714	0.868658729296992	NA	SYCP1
PIP5K1A	705.115392994617	0.0326833710193537	0.0750534125627752	0.640475906175043	0.808490261351872	PIP5K1A
GDAP2	739.839676638753	-0.0205955149737199	0.0630263086031037	0.731560535089306	0.86244052401049	GDAP2
WDR3	77.84186576326	-0.0561801371485909	0.1330883456763	0.588700502010846	0.774870569305925	WDR3
AC244021.1	8.01743666572904	-0.084461692542502	0.222704291476475	0.304457188532525	NA	AC244021.1
PSMC1P12	2.82721549190703	0.000295605138960669	0.211346637502229	0.99711221965468	NA	PSMC1P12
SLC22A15	601.516994882463	-0.345017865111028	0.137750192934659	0.00130584540338593	0.0202055167848675	SLC22A15
SCNM1	448.289112480466	0.079578187708911	0.103209651807458	0.375727754617894	0.609269602095251	SCNM1
AC244669.2	24.9762985057307	-0.00273247666294943	0.193252938737247	0.977455876814716	0.988302158591336	AC244669.2
FLG-AS1	1.87210302789702	0.0779901378575258	0.225061916304653	0.325206427001451	NA	FLG-AS1
CDC14A	289.380181361249	-0.0478226835699708	0.102561408056609	0.592905707487072	0.777528326303591	CDC14A
CD53	15328.8083460185	0.0170085872887519	0.0688111578571452	0.793304576180038	0.89808586649173	CD53
SRGAP2C	131.73609072328	0.201222143665588	0.163679275343184	0.0711846386505458	0.230579735614204	SRGAP2C
SPAG17	4.43862322981469	0.0566752259458748	0.197125584986205	0.554837229854812	NA	SPAG17
TTF2	281.176587978117	0.0563532775993762	0.13456503931941	0.589206622324897	0.775133265066872	TTF2
MAGI3	165.122412383929	-0.284828711030134	0.187588940014359	0.0146799826948211	0.089231927853559	MAGI3
GABPB2	180.605942554946	-0.0503504980874378	0.0883375534801339	0.52917970654139	0.732379395587558	GABPB2
CD5L	2.47619309555026	0.0683591211321146	0.214147265089233	0.422066040546277	NA	CD5L
AL592494.1	10.4712660799854	-0.0435673947153287	0.192155811323782	0.657696327020741	NA	AL592494.1
LINC01768	4.34407712019661	-0.0756284846087746	0.212083024832901	0.3886809598534	NA	LINC01768
PNRC2P1	78.3585615970714	-0.0201267225442483	0.130668992578785	0.845132691942823	0.922541462947714	PNRC2P1
CD2	20.3097460273834	-0.0800012999996333	0.191630780950995	0.426484949573315	0.651608392790237	CD2
AL357055.2	2.98095039931612	0.136525317997846	0.244456115250624	0.110533135455219	NA	AL357055.2
AL592295.3	14.2398801554985	0.142819206795152	0.17024550542153	0.192388847443485	0.413130720555928	AL592295.3
GPR89A	13.517641198628	0.0710776304163473	0.173567245038116	0.505237930301506	0.713647903043985	GPR89A
AL450468.2	32.4410082160234	-0.0249750682185019	0.177987123820082	0.811073897947403	0.906608018297818	AL450468.2
GTF2B	1414.15776917587	0.132452855398841	0.1151356314004	0.169906681989641	0.382984003225458	GTF2B
TNFSF4	12.6526282980673	0.255985890026066	0.226623283627836	0.0234081731651204	0.118065976226968	TNFSF4
AL450992.1	297.229612587929	-0.0449024619057089	0.100117036102472	0.609615861988497	0.789668664257961	AL450992.1
CSF1	1562.19340887173	-0.11898593169655	0.191413729312512	0.250797686739749	0.484653539665594	CSF1
IGSF8	205.775139401518	0.333417556704798	0.138487319169528	0.00193226091201367	0.0256023812525816	IGSF8
MPC2	209.688517355744	0.0598243475079556	0.120420678903327	0.545594305862554	0.743494309920719	MPC2
LINC00624	4.73566465602837	-0.0884545750242862	0.205500803632295	0.345361806601321	NA	LINC00624
C1orf112	51.7609485027051	0.0653933781720967	0.157607197956631	0.545622098333665	0.743494309920719	C1orf112
LAMC1	684.744587869498	-0.392974169514065	0.222488046402973	0.00196386557487774	0.0258305854411675	LAMC1
AL512844.1	46.2744659829768	0.038837251105875	0.14179805238172	0.714569181693697	0.852731670558881	AL512844.1
AL022100.1	6.62782388195347	-0.0545273402021517	0.206207080005045	0.542009769151652	NA	AL022100.1
AL121985.3	2.89287691224211	0.0142702787240975	0.2332032883735	0.809045121410266	NA	AL121985.3
MGST3	684.656113892449	0.147019651883824	0.0977742924807763	0.0887860878069816	0.263789083221954	MGST3
CASQ1	3.50451062932529	-0.0362691874016651	0.214249654282811	0.65340335716468	NA	CASQ1
ILF2	1357.95824798028	-0.0257220733322471	0.0715011505863523	0.701562075345379	0.8468230828351	ILF2
NME7	11.0845050861152	0.0155511469556744	0.186447045955507	0.877344926691408	0.94013728578078	NME7
RCSD1	2259.01314092868	0.249753026088309	0.120278909937884	0.0118240686046979	0.0781485971403314	RCSD1
SFT2D2	2186.22860473644	0.248924795025401	0.103024649435195	0.00546719333146329	0.0486520661455112	SFT2D2
UCK2	97.1481462602074	0.00452061617694471	0.12892782859916	0.964793422686028	0.98071106588861	UCK2
AL121985.2	8.89039143659018	0.14761110995146	0.230386557374154	0.112203107451248	NA	AL121985.2
LINC01720	0.503824228721613	-0.0224752328325404	0.241591043688709	0.663393388170431	NA	LINC01720
