NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	155	0.46610352	1.6905777	0.0056926	0.055890497	0.265	2781	tags=33%, list=18%, signal=40%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	82	0.71777606	1.6707721	0.062	0.058807913	0.286	1646	tags=55%, list=11%, signal=61%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	106	0.37581852	1.6073971	0.007561437	0.0788374	0.369	3339	tags=33%, list=22%, signal=42%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	162	0.34002516	1.6047664	0.0019762847	0.07550942	0.377	2871	tags=29%, list=19%, signal=35%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	37	0.47926712	1.5946746	0.0251938	0.07597376	0.399	4387	tags=46%, list=29%, signal=64%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	94	0.38264927	1.5696015	0.005988024	0.08160077	0.436	1818	tags=22%, list=12%, signal=25%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	169	0.35403234	1.4975286	0.011952192	0.11865537	0.568	3120	tags=30%, list=20%, signal=37%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	62	0.38551262	1.4316225	0.08383234	0.15764582	0.678	2244	tags=27%, list=15%, signal=32%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		88	0.35561255	1.4175034	0.08367347	0.16067426	0.698	2735	tags=30%, list=18%, signal=36%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		173	0.33714694	1.3598486	0.088974856	0.20465404	0.779	3855	tags=32%, list=25%, signal=43%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		32	0.3730791	1.317847	0.13241106	0.2383457	0.834	2849	tags=28%, list=19%, signal=34%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		178	0.28505826	1.1874487	0.26078433	0.39120662	0.944	2394	tags=19%, list=16%, signal=22%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		133	0.28520134	1.1859131	0.25968993	0.37718657	0.944	3552	tags=26%, list=23%, signal=33%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		168	0.25203437	1.1673607	0.2104247	0.38646954	0.954	3552	tags=27%, list=23%, signal=34%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		89	0.3028505	1.1464143	0.2982456	0.39842147	0.962	4704	tags=43%, list=31%, signal=61%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		172	0.23319748	1.0730715	0.3445693	0.49279046	0.978	2451	tags=20%, list=16%, signal=23%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		181	0.25657758	1.0689596	0.3493014	0.4824527	0.979	2434	tags=19%, list=16%, signal=22%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		156	0.27488548	1.0666597	0.3929314	0.4711075	0.98	4231	tags=37%, list=28%, signal=50%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		177	0.24866144	1.0483783	0.39068827	0.48399186	0.983	2111	tags=16%, list=14%, signal=18%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		131	0.2622103	1.028996	0.416826	0.49976882	0.986	2703	tags=27%, list=18%, signal=32%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		99	0.25193235	1.0265139	0.45418328	0.48850086	0.987	3851	tags=29%, list=25%, signal=39%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		184	0.21526822	0.9978567	0.44618395	0.5186641	0.993	1225	tags=10%, list=8%, signal=11%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		95	0.21114054	0.9160584	0.5971944	0.6314373	0.996	3628	tags=28%, list=24%, signal=37%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		95	0.21230239	0.90120226	0.5907336	0.63741225	0.996	1731	tags=17%, list=11%, signal=19%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	0.25304303	0.86544335	0.6295546	0.67789197	0.998	3809	tags=35%, list=25%, signal=47%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		29	0.24903513	0.78268397	0.7113821	0.7899027	1.0	1804	tags=21%, list=12%, signal=23%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		40	0.22643569	0.78154325	0.72379035	0.771333	1.0	3567	tags=28%, list=23%, signal=36%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		125	0.2017157	0.7216142	0.88622755	0.83482176	1.0	3490	tags=26%, list=23%, signal=34%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		170	0.20728898	0.63076794	0.7348178	0.9095809	1.0	3682	tags=20%, list=24%, signal=26%	
