NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE22140_GERMFREE_VS_SPF_ARTHRITIC_MOUSE_CD4_TCELL_DN	GSE22140_GERMFREE_VS_SPF_ARTHRITIC_MOUSE_CD4_TCELL_DN	Details ...	166	-0.54750985	-1.8758737	0.020120725	0.3395907	0.406	2864	tags=54%, list=20%, signal=66%	
GSE22196_HEALTHY_VS_OBESE_MOUSE_SKIN_GAMMADELTA_TCELL_UP	GSE22196_HEALTHY_VS_OBESE_MOUSE_SKIN_GAMMADELTA_TCELL_UP	Details ...	170	-0.5575237	-1.8724456	0.023904383	0.3236807	0.41	2866	tags=52%, list=20%, signal=64%	
GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_DN	GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_DN	Details ...	168	-0.6407561	-1.8584118	0.037113402	0.3394355	0.44	2383	tags=63%, list=17%, signal=75%	
GSE34205_RSV_VS_FLU_INF_INFANT_PBMC_DN	GSE34205_RSV_VS_FLU_INF_INFANT_PBMC_DN	Details ...	158	-0.5187155	-1.8311641	0.035643563	0.4071986	0.503	2324	tags=46%, list=16%, signal=54%	
GSE37534_GW1929_VS_PIOGLITAZONE_TREATED_CD4_TCELL_PPARG1_FOXP3_TRANSDUCED_UP	GSE37534_GW1929_VS_PIOGLITAZONE_TREATED_CD4_TCELL_PPARG1_FOXP3_TRANSDUCED_UP	Details ...	123	-0.458166	-1.8206458	0.016460905	0.4180267	0.533	1866	tags=33%, list=13%, signal=37%	
GSE1432_1H_VS_24H_IFNG_MICROGLIA_DN	GSE1432_1H_VS_24H_IFNG_MICROGLIA_DN	Details ...	168	-0.5888943	-1.8128711	0.044444446	0.4240451	0.552	2582	tags=53%, list=18%, signal=64%	
GSE40685_TREG_VS_FOXP3_KO_TREG_PRECURSOR_UP	GSE40685_TREG_VS_FOXP3_KO_TREG_PRECURSOR_UP	Details ...	162	-0.6005235	-1.8108175	0.05788423	0.40708497	0.56	1951	tags=52%, list=14%, signal=59%	
GSE13485_PRE_VS_POST_YF17D_VACCINATION_PBMC_DN	GSE13485_PRE_VS_POST_YF17D_VACCINATION_PBMC_DN	Details ...	176	-0.61132836	-1.8068911	0.04761905	0.39757168	0.567	2689	tags=60%, list=19%, signal=73%	
GSE15330_HSC_VS_PRO_BCELL_UP	GSE15330_HSC_VS_PRO_BCELL_UP	Details ...	171	-0.38179967	-1.8056717	0.0	0.3804671	0.569	3267	tags=43%, list=23%, signal=55%	
GSE36826_NORMAL_VS_STAPH_AUREUS_INF_SKIN_DN	GSE36826_NORMAL_VS_STAPH_AUREUS_INF_SKIN_DN	Details ...	171	-0.4113889	-1.7958364	0.004016064	0.39410666	0.588	2824	tags=43%, list=20%, signal=53%	
GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_48H_DN	GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_48H_DN		139	-0.49889392	-1.7956609	0.030927835	0.37571442	0.588	1795	tags=37%, list=13%, signal=42%	
GSE17721_0.5H_VS_8H_CPG_BMDC_UP	GSE17721_0.5H_VS_8H_CPG_BMDC_UP		179	-0.4598366	-1.7913562	0.008163265	0.37258878	0.602	2466	tags=42%, list=17%, signal=50%	
GSE40685_TREG_VS_FOXP3_KO_TREG_PRECURSOR_DN	GSE40685_TREG_VS_FOXP3_KO_TREG_PRECURSOR_DN		170	-0.5755938	-1.7847135	0.06175299	0.3774009	0.619	1678	tags=46%, list=12%, signal=51%	
GSE36826_NORMAL_VS_STAPH_AUREUS_INF_IL1R_KO_SKIN_UP	GSE36826_NORMAL_VS_STAPH_AUREUS_INF_IL1R_KO_SKIN_UP		180	-0.387017	-1.7832907	0.002020202	0.36629957	0.624	3519	tags=44%, list=25%, signal=58%	
GSE3982_NEUTROPHIL_VS_NKCELL_DN	GSE3982_NEUTROPHIL_VS_NKCELL_DN		152	-0.38546503	-1.7828555	0.0	0.35314414	0.626	2970	tags=39%, list=21%, signal=49%	
GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_DN	GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_DN		163	-0.632519	-1.7797321	0.06477733	0.3482008	0.632	2480	tags=57%, list=17%, signal=68%	
GSE17974_0.5H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN	GSE17974_0.5H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN		175	-0.4369288	-1.7738427	0.0062761507	0.35238725	0.639	2590	tags=37%, list=18%, signal=44%	
GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_6H_UP	GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_6H_UP		161	-0.44039458	-1.7652278	0.017374517	0.36582193	0.644	2931	tags=42%, list=21%, signal=52%	
GSE5589_WT_VS_IL10_KO_LPS_STIM_MACROPHAGE_45MIN_UP	GSE5589_WT_VS_IL10_KO_LPS_STIM_MACROPHAGE_45MIN_UP		163	-0.362914	-1.7616237	0.0020920502	0.36479953	0.655	2684	tags=39%, list=19%, signal=47%	
GSE22033_UNTREATED_VS_MRL24_TREATED_MEF_UP	GSE22033_UNTREATED_VS_MRL24_TREATED_MEF_UP		169	-0.42058948	-1.7610272	0.0060975607	0.3548502	0.656	2710	tags=40%, list=19%, signal=48%	
GSE2770_IL12_AND_TGFB_ACT_VS_ACT_CD4_TCELL_2H_DN	GSE2770_IL12_AND_TGFB_ACT_VS_ACT_CD4_TCELL_2H_DN		163	-0.45594528	-1.7604555	0.00998004	0.34475976	0.656	2900	tags=45%, list=20%, signal=56%	
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_1H_DN	GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_1H_DN		168	-0.4888654	-1.7570969	0.023255814	0.34309363	0.665	2583	tags=44%, list=18%, signal=53%	
GSE557_WT_VS_CIITA_KO_DC_UP	GSE557_WT_VS_CIITA_KO_DC_UP		161	-0.3833645	-1.7537458	0.0060362173	0.34309292	0.675	2809	tags=43%, list=20%, signal=53%	
GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_IN_MAST_CELL_UP	GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_IN_MAST_CELL_UP		158	-0.40640068	-1.7525262	0.010080645	0.3358077	0.677	2478	tags=35%, list=17%, signal=42%	
GSE22935_UNSTIM_VS_12H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_DN	GSE22935_UNSTIM_VS_12H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_DN		174	-0.4235036	-1.7491809	0.004192872	0.33502716	0.685	2325	tags=36%, list=16%, signal=43%	
GSE2770_TGFB_AND_IL4_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_48H_DN	GSE2770_TGFB_AND_IL4_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_48H_DN		160	-0.4728391	-1.7479771	0.010183299	0.32835373	0.686	2960	tags=49%, list=21%, signal=61%	
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_48H_CD4_TCELL_DN	GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_48H_CD4_TCELL_DN		166	-0.43177092	-1.7469769	0.012605042	0.32225436	0.689	2464	tags=40%, list=17%, signal=48%	
GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD4_TCELL_UP	GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD4_TCELL_UP		162	-0.3830585	-1.7374961	0.016806724	0.3394821	0.714	2299	tags=35%, list=16%, signal=42%	
GSE19401_NAIVE_VS_IMMUNIZED_MOUSE_PLN_FOLLICULAR_DC_DN	GSE19401_NAIVE_VS_IMMUNIZED_MOUSE_PLN_FOLLICULAR_DC_DN		178	-0.4595329	-1.7302634	0.031128405	0.35085943	0.727	2781	tags=40%, list=20%, signal=50%	
GSE16522_ANTI_CD3CD28_STIM_VS_UNSTIM_MEMORY_CD8_TCELL_DN	GSE16522_ANTI_CD3CD28_STIM_VS_UNSTIM_MEMORY_CD8_TCELL_DN		169	-0.4111131	-1.7283814	0.008196721	0.3472767	0.73	2235	tags=34%, list=16%, signal=40%	
GSE40274_CTRL_VS_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	GSE40274_CTRL_VS_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_UP		140	-0.40562874	-1.7267694	0.01178782	0.34271336	0.733	2964	tags=42%, list=21%, signal=53%	
GSE11864_CSF1_VS_CSF1_IFNG_IN_MAC_DN	GSE11864_CSF1_VS_CSF1_IFNG_IN_MAC_DN		150	-0.4188421	-1.7245215	0.031055901	0.34048945	0.738	2576	tags=39%, list=18%, signal=48%	
GSE22432_MULTIPOTENT_PROGENITOR_VS_PDC_UP	GSE22432_MULTIPOTENT_PROGENITOR_VS_PDC_UP		164	-0.37251633	-1.7226685	0.019417476	0.338087	0.745	2813	tags=36%, list=20%, signal=44%	
GSE22589_HEALTHY_VS_HIV_INFECTED_DC_DN	GSE22589_HEALTHY_VS_HIV_INFECTED_DC_DN		160	-0.41075128	-1.7225202	0.04042553	0.33072945	0.746	2100	tags=31%, list=15%, signal=36%	
GSE22886_DAY1_VS_DAY7_MONOCYTE_IN_CULTURE_DN	GSE22886_DAY1_VS_DAY7_MONOCYTE_IN_CULTURE_DN		174	-0.511406	-1.7218875	0.060546875	0.32508668	0.746	3318	tags=58%, list=23%, signal=75%	
GSE15330_HSC_VS_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_IKAROS_KO_DN	GSE15330_HSC_VS_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_IKAROS_KO_DN		177	-0.3547089	-1.718851	0.004140787	0.32565904	0.752	2768	tags=36%, list=19%, signal=44%	
GSE24026_PD1_LIGATION_VS_CTRL_IN_ACT_TCELL_LINE_UP	GSE24026_PD1_LIGATION_VS_CTRL_IN_ACT_TCELL_LINE_UP		161	-0.4360112	-1.7130716	0.029411765	0.33390903	0.763	2512	tags=37%, list=18%, signal=45%	
GSE18893_TCONV_VS_TREG_24H_TNF_STIM_UP	GSE18893_TCONV_VS_TREG_24H_TNF_STIM_UP		174	-0.46614274	-1.7057556	0.024691358	0.3458354	0.779	2861	tags=43%, list=20%, signal=53%	
GSE17322_CD103_POS_VS_CD11B_HIGH_LUNG_DC_DN	GSE17322_CD103_POS_VS_CD11B_HIGH_LUNG_DC_DN		170	-0.39818734	-1.7039502	0.030674847	0.34403694	0.78	2529	tags=38%, list=18%, signal=46%	
GSE21546_WT_VS_SAP1A_KO_DP_THYMOCYTES_UP	GSE21546_WT_VS_SAP1A_KO_DP_THYMOCYTES_UP		153	-0.6253095	-1.7026223	0.085192695	0.3406752	0.785	2247	tags=56%, list=16%, signal=65%	
GSE17721_CTRL_VS_LPS_8H_BMDC_UP	GSE17721_CTRL_VS_LPS_8H_BMDC_UP		173	-0.3976377	-1.7015972	0.01764706	0.33651096	0.786	2124	tags=31%, list=15%, signal=36%	
GSE19198_CTRL_VS_IL21_TREATED_TCELL_6H_UP	GSE19198_CTRL_VS_IL21_TREATED_TCELL_6H_UP		177	-0.40643513	-1.701109	0.009765625	0.33130476	0.787	2862	tags=45%, list=20%, signal=56%	
GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD8_TCELL_UP	GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD8_TCELL_UP		167	-0.41621792	-1.7001855	0.010460251	0.32734674	0.788	2235	tags=40%, list=16%, signal=46%	
GSE46606_IRF4_KO_VS_WT_CD40L_IL2_IL5_1DAY_STIMULATED_BCELL_UP	GSE46606_IRF4_KO_VS_WT_CD40L_IL2_IL5_1DAY_STIMULATED_BCELL_UP		148	-0.37274402	-1.6945121	0.008163265	0.33671463	0.798	2509	tags=35%, list=18%, signal=42%	
GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_0.8H_UP	GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_0.8H_UP		164	-0.37592366	-1.6882945	0.0062370063	0.34649095	0.809	3147	tags=41%, list=22%, signal=53%	
GSE21927_SPLEEN_C57BL6_VS_4T1_TUMOR_BALBC_MONOCYTES_DN	GSE21927_SPLEEN_C57BL6_VS_4T1_TUMOR_BALBC_MONOCYTES_DN		168	-0.58503246	-1.688137	0.083333336	0.34066784	0.809	2280	tags=52%, list=16%, signal=62%	
GSE3982_EOSINOPHIL_VS_NKCELL_DN	GSE3982_EOSINOPHIL_VS_NKCELL_DN		157	-0.36660284	-1.6877613	0.0020242915	0.3357258	0.81	3430	tags=43%, list=24%, signal=56%	
GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_2H_DN	GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_2H_DN		169	-0.41241932	-1.687574	0.017892644	0.3303885	0.811	3172	tags=44%, list=22%, signal=56%	
GSE6259_DEC205_POS_DC_VS_CD8_TCELL_UP	GSE6259_DEC205_POS_DC_VS_CD8_TCELL_UP		158	-0.40112123	-1.6869572	0.03076923	0.3262882	0.812	2312	tags=34%, list=16%, signal=40%	
GSE25123_WT_VS_PPARG_KO_MACROPHAGE_DN	GSE25123_WT_VS_PPARG_KO_MACROPHAGE_DN		162	-0.47034124	-1.6792127	0.03929273	0.3400993	0.826	1781	tags=33%, list=13%, signal=38%	
GSE16522_MEMORY_VS_NAIVE_ANTI_CD3CD28_STIM_CD8_TCELL_DN	GSE16522_MEMORY_VS_NAIVE_ANTI_CD3CD28_STIM_CD8_TCELL_DN		171	-0.38196635	-1.678867	0.023255814	0.3353871	0.828	2290	tags=32%, list=16%, signal=38%	
GSE12845_IGD_NEG_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP	GSE12845_IGD_NEG_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP		155	-0.3906096	-1.6781958	0.01996008	0.3317333	0.829	3460	tags=45%, list=24%, signal=58%	
GSE2706_2H_VS_8H_R848_AND_LPS_STIM_DC_UP	GSE2706_2H_VS_8H_R848_AND_LPS_STIM_DC_UP		170	-0.4343484	-1.6770563	0.038986355	0.3295125	0.832	2893	tags=44%, list=20%, signal=54%	
GSE19401_UNSTIM_VS_RETINOIC_ACID_STIM_FOLLICULAR_DC_UP	GSE19401_UNSTIM_VS_RETINOIC_ACID_STIM_FOLLICULAR_DC_UP		161	-0.44357306	-1.6740476	0.040618956	0.3320888	0.837	2220	tags=37%, list=16%, signal=43%	
GSE29617_DAY3_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_UP	GSE29617_DAY3_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_UP		150	-0.38150585	-1.6736282	0.01871102	0.32796073	0.837	2313	tags=35%, list=16%, signal=42%	
GSE22432_CONVENTIONAL_CDC_VS_PLASMACYTOID_PDC_DN	GSE22432_CONVENTIONAL_CDC_VS_PLASMACYTOID_PDC_DN		173	-0.3652675	-1.6736208	0.030120483	0.32305	0.837	2555	tags=32%, list=18%, signal=39%	
GSE41867_DAY15_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP	GSE41867_DAY15_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP		166	-0.39265385	-1.672978	0.04637097	0.3198273	0.837	3302	tags=47%, list=23%, signal=61%	
GSE17721_0.5H_VS_4H_CPG_BMDC_UP	GSE17721_0.5H_VS_4H_CPG_BMDC_UP		181	-0.38823572	-1.6717564	0.027131783	0.3182113	0.841	3076	tags=44%, list=22%, signal=55%	
GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN	GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN		179	-0.6630715	-1.6714396	0.083333336	0.31436688	0.841	2283	tags=61%, list=16%, signal=72%	
GSE23505_IL6_IL1_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_DN	GSE23505_IL6_IL1_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_DN		162	-0.4071888	-1.6683259	0.036072146	0.31708875	0.849	3486	tags=47%, list=25%, signal=61%	
GSE41087_WT_VS_FOXP3_MUT_ANTI_CD3_CD28_STIM_CD4_TCELL_DN	GSE41087_WT_VS_FOXP3_MUT_ANTI_CD3_CD28_STIM_CD4_TCELL_DN		181	-0.4210646	-1.667417	0.032258064	0.31463486	0.85	3323	tags=44%, list=23%, signal=57%	
GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_DN	GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_DN		164	-0.6440147	-1.6654003	0.092369474	0.31521624	0.857	2315	tags=56%, list=16%, signal=66%	
GSE3982_NEUTROPHIL_VS_BCELL_DN	GSE3982_NEUTROPHIL_VS_BCELL_DN		164	-0.3861141	-1.6650963	0.02366864	0.31141835	0.857	2406	tags=36%, list=17%, signal=43%	
GSE42021_TREG_PLN_VS_CD24INT_TREG_THYMUS_DN	GSE42021_TREG_PLN_VS_CD24INT_TREG_THYMUS_DN		160	-0.60528797	-1.6628345	0.09016393	0.31268948	0.862	2318	tags=54%, list=16%, signal=64%	
GSE9601_NFKB_INHIBITOR_VS_PI3K_INHIBITOR_TREATED_HCMV_INF_MONOCYTE_UP	GSE9601_NFKB_INHIBITOR_VS_PI3K_INHIBITOR_TREATED_HCMV_INF_MONOCYTE_UP		159	-0.37965018	-1.6625279	0.021442495	0.30921188	0.862	2491	tags=34%, list=18%, signal=41%	
GSE34006_WT_VS_A2AR_KO_TREG_DN	GSE34006_WT_VS_A2AR_KO_TREG_DN		160	-0.48208225	-1.6619225	0.08853119	0.30662242	0.863	2247	tags=45%, list=16%, signal=53%	
GSE17721_LPS_VS_CPG_24H_BMDC_UP	GSE17721_LPS_VS_CPG_24H_BMDC_UP		154	-0.3502259	-1.6614207	0.004201681	0.30382684	0.863	2104	tags=30%, list=15%, signal=35%	
GSE28408_LY6G_POS_VS_NEG_DC_DN	GSE28408_LY6G_POS_VS_NEG_DC_DN		169	-0.3789116	-1.6605091	0.012396694	0.3019912	0.865	3169	tags=43%, list=22%, signal=55%	
GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_48H_UP	GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_48H_UP		171	-0.43899894	-1.6576896	0.03846154	0.30483633	0.871	3134	tags=43%, list=22%, signal=54%	
GSE7509_UNSTIM_VS_FCGRIIB_STIM_DC_DN	GSE7509_UNSTIM_VS_FCGRIIB_STIM_DC_DN		148	-0.43642887	-1.6560383	0.061601643	0.3049021	0.873	2171	tags=39%, list=15%, signal=46%	
GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_DN	GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_DN		159	-0.5439371	-1.6547763	0.09917355	0.30425853	0.873	2074	tags=47%, list=15%, signal=55%	
GSE45837_WT_VS_GFI1_KO_PDC_DN	GSE45837_WT_VS_GFI1_KO_PDC_DN		162	-0.4933174	-1.6530696	0.096339114	0.30486548	0.877	3923	tags=60%, list=28%, signal=82%	
GSE42021_TREG_VS_TCONV_PLN_UP	GSE42021_TREG_VS_TCONV_PLN_UP		164	-0.60348684	-1.650297	0.09072581	0.30747697	0.884	2525	tags=55%, list=18%, signal=67%	
GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_TRICHOSTATINA_CD8_TCELL_DN	GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_TRICHOSTATINA_CD8_TCELL_DN		162	-0.40224013	-1.6499186	0.030612245	0.30459756	0.884	3841	tags=48%, list=27%, signal=64%	
GSE22140_HEALTHY_VS_ARTHRITIC_MOUSE_CD4_TCELL_UP	GSE22140_HEALTHY_VS_ARTHRITIC_MOUSE_CD4_TCELL_UP		163	-0.4398711	-1.6462971	0.038229376	0.30899876	0.888	2628	tags=41%, list=19%, signal=50%	
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_DN	GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_DN		165	-0.6141986	-1.6455674	0.103869654	0.30692762	0.889	1970	tags=53%, list=14%, signal=61%	
GSE45382_UNTREATED_VS_TGFB_TREATED_MACROPHAGES_UP	GSE45382_UNTREATED_VS_TGFB_TREATED_MACROPHAGES_UP		173	-0.4029926	-1.6432941	0.02	0.30899498	0.894	2392	tags=39%, list=17%, signal=46%	
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_DN	GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_DN		153	-0.6545195	-1.6431688	0.10240964	0.3057832	0.894	2315	tags=58%, list=16%, signal=68%	
GSE36891_UNSTIM_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_DN	GSE36891_UNSTIM_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_DN		130	-0.41048846	-1.638945	0.04238921	0.31198388	0.899	3433	tags=45%, list=24%, signal=58%	
GSE19888_CTRL_VS_A3R_INHIBITOR_TREATED_MAST_CELL_UP	GSE19888_CTRL_VS_A3R_INHIBITOR_TREATED_MAST_CELL_UP		162	-0.42080256	-1.6360042	0.03640257	0.31495705	0.904	2879	tags=44%, list=20%, signal=55%	
GSE34515_CD16_NEG_VS_POS_MONOCYTE_UP	GSE34515_CD16_NEG_VS_POS_MONOCYTE_UP		160	-0.35137406	-1.6349864	0.008547009	0.31424835	0.905	2785	tags=39%, list=20%, signal=48%	
GSE33292_DN3_THYMOCYTE_VS_TCF1_KO_TCELL_LYMPHOMA_UP	GSE33292_DN3_THYMOCYTE_VS_TCF1_KO_TCELL_LYMPHOMA_UP		162	-0.3358662	-1.6335741	0.012170386	0.31422922	0.908	1963	tags=30%, list=14%, signal=35%	
GSE17721_0.5H_VS_12H_CPG_BMDC_UP	GSE17721_0.5H_VS_12H_CPG_BMDC_UP		171	-0.38578323	-1.6328272	0.026369167	0.312467	0.91	2735	tags=40%, list=19%, signal=49%	
GSE42021_TREG_PLN_VS_TREG_PRECURSORS_THYMUS_DN	GSE42021_TREG_PLN_VS_TREG_PRECURSORS_THYMUS_DN		161	-0.58114463	-1.6313183	0.10483871	0.3127004	0.912	2247	tags=50%, list=16%, signal=58%	
GSE39820_TGFBETA1_IL6_VS_TGFBETA1_IL6_IL23A_TREATED_CD4_TCELL_DN	GSE39820_TGFBETA1_IL6_VS_TGFBETA1_IL6_IL23A_TREATED_CD4_TCELL_DN		150	-0.38988382	-1.6309437	0.038934425	0.31045765	0.913	2849	tags=37%, list=20%, signal=45%	
GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_UP	GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_UP		154	-0.34646407	-1.6308025	0.018867925	0.30757958	0.914	2388	tags=34%, list=17%, signal=41%	
GSE7218_IGM_VS_IGG_SIGNAL_THGOUGH_ANTIGEN_BCELL_DN	GSE7218_IGM_VS_IGG_SIGNAL_THGOUGH_ANTIGEN_BCELL_DN		133	-0.48298466	-1.6304089	0.0875	0.30547547	0.914	1951	tags=41%, list=14%, signal=47%	
GSE40274_CTRL_VS_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	GSE40274_CTRL_VS_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP		112	-0.41492918	-1.6289368	0.02631579	0.30564028	0.914	2313	tags=38%, list=16%, signal=44%	
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_UP	GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_UP		166	-0.49024123	-1.628907	0.08853119	0.3025935	0.914	2318	tags=45%, list=16%, signal=53%	
GSE17721_CTRL_VS_GARDIQUIMOD_6H_BMDC_UP	GSE17721_CTRL_VS_GARDIQUIMOD_6H_BMDC_UP		169	-0.3431287	-1.6271504	0.015841585	0.30334777	0.916	2511	tags=33%, list=18%, signal=39%	
GSE7831_UNSTIM_VS_CPG_STIM_PDC_4H_DN	GSE7831_UNSTIM_VS_CPG_STIM_PDC_4H_DN		167	-0.3325986	-1.6251189	0.0	0.30490956	0.917	2251	tags=33%, list=16%, signal=39%	
